,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
35,(GROANS),We won't stay on Dragonstone for long.,We fought on opposite sides at the Battle of Blackwater Bay.,Tell Cersei.,Ending the war.,Never seen snow before.,Men without cocks.
350,"Oh, what did he come here for, then?",Lord Tyrion is Hand of the Queen.,There's only one reward I want.,Commit to the blockade of King's Landing.,"but if the gold cloaks were to recognize you,","And right now, she's thinking of how to set a trap.","- Cersei, I didn't know. - ...the destruction of this family."
351,A queen.,You will treat him with respect.,You shall have what your heart desires...,- We have a plan. It's still the right plan. - The right plan!,"I'm warning you, I'm not a fighter.",Of course she is.,I am the one preventing that from happening.
352,"Euron: The moment I was chosen Lord of the Iron Islands,",I am not here to be queen of the ashes.,when the war is won.,"Your strategy has lost us Dorne, the Iron Islands, and the Reach.","Well, it will all be for nothing",And she's wondering what trap you're laying for her.,Daenerys didn't want to debate and negotiate.
353,they turned on me. ( chuckles ),That's very nice to hear.,With Euron Greyjoy commanding our naval forces,- If I have underestimated our enemies-- - Our enemies?,if we don't have one of these dead men.,Are we?,She didn't want to bring you words.
354,Their own uncle.,"Of course, I can't remember a queen","and Jaime Lannister leading our armies,","Your family, you mean.",Fair point.,Laying any traps?,She wanted to bring you fire and blood
355,They stole my best ships and ran.,who was better loved than my granddaughter.,the sons and daughters of Westeros,Perhaps you don't want to hurt them after all.,How do you propose to find one?,"If we want to create a new and better world,",until I advised her otherwise.
356,Sailed them right across the world,The common people loved her.,shall defend our country.,( dragons screeching ),"With the queen's permission, I'll go north and take one.",I'm not sure deceit and mass murder is the best way to start.,I don't want to destroy our family.
357,and gave them to the Dragon Queen,The nobles loved her.,( crowd cheering ),Enough with the clever plans.,You asked me to find a cure so I could serve you.,Which war was won without deceit and mass murder?,I never have.
358,so she could bring her armies here to attack you.,And what is left of her now?,"There's nothing quite like it, is there?",I have three large dragons.,Allow me to serve you.,"Yes, you'll need to be ruthless",You killed our father.
359,It's nothing compared to the treason you suffered,Ashes.,The love of the people.,I'm going to fly them to the Red Keep.,The Free Folk will help us.,if you're going to win the throne.,After he sentenced me to death
36,Are you sure you're ready for this?,Good.,Unluckily for me.,I want her to know it was me.,Killing her.,"Beautiful, eh?",You wouldn't find me fighting in an army
360,"at the hands of a family member, from what I hear.","Commoners, nobles,",Though I suppose you wouldn't know.,We've discussed this.,They know the real north better than anyone.,You need to inspire a degree of fear.,"for a crime I didn't commit, yes, I killed him."
361,"But still, it bothers me.","they're all just children, really.",This same mob spat at my sister not long ago.,My enemies are in the Red Keep.,They won't follow Ser Jorah.,But fear is all Cersei has.,Hate me for it if you want.
362,Murdering them would make me feel a lot better.,They won't obey you unless they fear you.,"And if you turn on us,",What kind of a queen am I if I'm not willing to risk my life to fight them?,They won't have to.,"It's all my father had, and Joffrey.","I hate myself for it in spite of what he was,"
363,And since it appears that all our treasonous family members,"I'm grateful to you, Lady Olenna, for your counsel.",they'll cheer to see your head mounted on a spike.,A smart one.,You can't lead a raid beyond the Wall.,It makes their power brittle,in spite of what he did to me.
364,"are fighting for the same side,",I'm grateful to all of you.,Or yours.,What do you think I should do?,"You're not in the Night's Watch anymore, you're King in the North.",because everyone beneath them longs to see them dead.,"Oh, poor little man."
365,I thought we rightful monarchs,But you have chosen to follow me.,"They just like severed heads, really.",- I would never presume to-- - I'm at war.,I'm the only one here who's fought them.,Aegon Targaryen got quite a long way on fear.,Your papa was mean to you.
366,could murder them together.,I will not attack King's Landing.,"Listen, if you have any advice at all,",I'm losing.,I'm the only one here who knows them.,He did.,Do you have any idea what you did when you fired that crossbow?
367,"You're not a rightful monarch, though, are you?",We will not attack King's Landing.,I would love to hear it.,What do you think I should do?,I haven't given you permission to leave.,But you once spoke to me of breaking the wheel.,You left us open.
368,"The Greyjoys rebelled against the throne for the right to be monarchs,",Then how do you mean to take the Iron Throne?,When we have an hour or two to speak as brothers.,Jon: I never thought that dragons would exist again.,"With respect, Your Grace, I don't need your permission.",Aegon built a wheel.,"You laid us bare for the vultures,"
369,"but as I recall, you were soundly defeated.",By asking nicely?,Advice?,No one did.,I am a king.,"If that's the kind of queen you want to be,",and the vultures came and tore us apart.
37,I'm the three-eyed raven. I have to be ready for this.,Daenerys: Not so many lions.,Missandei is the queen's most trusted advisor.,( theme music playing ),You saw the dragon between you and her?,I can breathe again.,if I had no cock.
370,"Come to mention it,","We will lay siege to the capital,",Does she like it gentle or rough?,The people who follow you,And I came here,how are you different from all the other tyrants that came before you?,"You may not have killed Joffrey,"
371,weren't you the one who started that rebellion,surrounding the city on all sides.,A finger in the bum?,know that you made something impossible happen.,knowing that you could have your men behead me,So we walk into the lions' den.,"but you killed Myrcella, you killed Tommen."
372,by sailing to Casterly Rock and burning the Lannister fleet?,"Cersei will have the Iron Throne,","Shh, shh, shh, shh, not now. We'll talk later.",Maybe that helps them believe,or your dragons burn me alive.,My brother promised me he'd keep a grip,No one would've touched them if Father was here.
373,You certainly caught us there.,but no food for her army or the people.,Cersei: I want you to know I understand.,that you can make other impossible things happen.,"I put my trust in you, a stranger,",on the Lannister forces.,- No one would have dared-- - I have never been more sorry about anything.
374,Very smart move on your part.,But we won't use Dothraki and Unsullied.,"Even though we're enemies, you and I,",Build a world that's different,"because I knew it was the best chance for my people,","Forgive me, but I don't care about any Lannister promises.","I will not hear it, not from you."
375,"Of course, we all made it to the Iron Islands anyway.",Cersei will try to rally the lords of Westeros,I understand the fury that drives you.,from the shit one they've always known.,for all our people.,Except yours.,I will not hear it!
376,I was there.,"by appealing to their loyalty,",I was there that day,"But if you use them to melt castles and burn cities,",Now I'm asking you to trust in a stranger...,And I promised him,All right.
377,I remember very well.,their love for their country.,when Ser Gregor crushed your lover's head.,you're not different.,because it's our best chance.,I'd keep you from doing anything impulsive.,"You love your family,"
378,I saw you.,"If we besiege the city with foreigners,","If I close my eyes,",You're just more of the same.,( all chattering ),Impulsive?,and I have destroyed it.
379,I heard so much talk.,we prove her point.,- I can hear the sound of Oberyn's skull breaking. - ( grunts ),( dragons screeching ),Glover: The King in the North should stay in the North.,This will be a difficult negotiation.,I will always be a threat.
38,♪ (PIANO NOTE RINGING) ♪,Varys: Cersei controls fewer than half the Seven Kingdoms.,Welcome to Dragonstone.,( horse neighs ),- And? - ( grunts ),"Down south, the air smells like pig shit.",What's left to fight for?
380,The best in the world. No one can stop him.,Our army should be Westerosi.,The sound of your scream.,( both grunting ),"We did not choose you to rule us, my lady.",We're sitting down with people who want to see us both headless.,So put an end to me.
381,"I didn't believe it, to be honest.",And I suppose we're providing the Westerosi?,I never heard a sound like that.,- ( huffs ) - Don't lunge.,- But perhaps we should have. - ( all murmuring ),My sister is likely to say something provocative.,"If it weren't for me, you'd have a mother."
382,But I must say when you rushed through the breach,You are.,"I thought, ""That's true love.""",( grunting ),"The Knights of the Vale came here for you, Lady Stark.",- And? - And you have been known,"If it weren't for me, you'd have a father."
383,and started cutting people down...,Lady Greyjoy will escort you home to Sunspear.,Oberyn looked beautiful that day. He really did.,Don't go where your enemy leads you.,Men: Aye.,"to lose your temper from time to time,","If it weren't for me,"
384,it was glorious.,And her Iron Fleet will ferry the Dornish army,No one moved like him.,Brienne: Up.,"You are very kind, my lords.",as all great leaders do.,you'd have two beautiful children.
385,Like a dance.,back up to King's Landing.,No one had such skill with a spear.,- And don't-- - Don't fight someone like her in the first place.,But Jon is our king.,When have I lost my temper?,I've thought about killing you
386,The people I was cutting down were your own kin.,The Dornish will lay siege to the capital,Even Ser Gregor couldn't stop him.,Nice sword.,He is doing what he thinks is best.,"Burning the Tarlys, for instance.",more times than I can count.
387,The place was getting crowded.,alongside the Tyrell army.,If only he hadn't taunted him.,Very nice dagger.,( chatter ),That was not impulsive.,Do it! Say the word.
388,I enjoyed watching it. I truly did.,Two great kingdoms united against Cersei.,He could've walked away and left poor Ser Gregor to die.,"If they haven't contributed the right amount of grain to the stores,",Sansa: I warned Jon this would happen.,That was necessary.,( sighs )
389,And I enjoyed killing Greyjoys.,"So, your master plan is to use our armies.","But that wasn't your lover's way, was it?",then I'm afraid they'll have to make due with what they've brought.,That he couldn't leave the North,- Perhaps. - Perhaps?,( pants )
39,"Do you know who had this table carved and painted, Ser Davos?",The lords of Westeros despise her.,Our queen knows it is a long journey.,Man: Hold that wagon!,"Listen to me, cunt.",You've never been down south.,Gold?
390,A good thing for me.,"Forgive me for asking, but why did you bother to bring your own?",Now he's buried somewhere.,We can't...,and expect it to just sit and wait for him like Ghost.,Perhaps the father needed to die and not the son.,I am more sorry about the children than you could ever know.
391,"If you hadn't crushed us, I wouldn't have gone into exile.",The Unsullied will have another objective.,"And here's Ser Gregor, stronger than ever.",It's been a while since I trained.,He didn't. He trusted you to hold it for him.,Perhaps they both needed time to contemplate their mistakes,- I will not-- - I don't care. I loved them.
