,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
333,( seagulls screeching ),The finest artillators and blacksmiths in King's Landing,"""Oh, no!"" ( laughs )",Not after everything they've suffered.,So bring the dead to her.,I suppose he stares at you longingly,She thinks I was an idiot to trust you.
334,Jaime: The Greyjoys?,"have been laboring day and night, Your Grace.",What a twat.,They will if their king does.,I thought that was what we were trying to avoid.,because he's hopeful for a successful military alliance.,"A lot of people seem to think that, actually."
335,You invited the Greyjoys to King's Landing?,If you'll kindly pull that lever.,( crowd booing ),They chose you to lead them.,We don't have to bring the whole army.,He's too little for me.,I'm about to step into a room
336,"- Not all of them. - Well, it looks like all of them.","Yara: If you want the Iron Throne, take it.",- ( crowd shouting ) - ( spits ),They chose you to protect them.,Only one soldier.,I didn't mean--,with the most murderous woman in the world
337,"I invited Euron Greyjoy,","We have an army, a fleet, and three dragons.",- Man: Whore! Whore! Whore! - Man ♪2: Murderers!,Isn't their survival more important than your pride?,Is that possible?,"As heroes go, he is quite little.","who's already tried to kill me twice, that I know of."
338,the new King of the Iron Islands.,"We should hit King's Landing now, hard, with everything we have.",( applause ),What is it?,The first wight I ever saw,I know you're brave.,Who's an idiot?
339,"You said yourself we needed stronger, better allies.",The city will fall within a day.,( grunts ),We took Casterly Rock.,was brought into Castle Black from beyond the Wall.,I wouldn't have chosen a coward as my Hand.,"I suppose we should say goodbye,"
34,- Let go of me! - (SCREAMS),Doesn't feel like home.,"- Davos Seaworth. - Ah, the Onion Knight.",Not at all what I intended.,The fuck were you doing back there?,Ever been north before?,If we live that long.
340,- There you are. - How are they better allies?,"If we turn the dragons loose, tens of thousands will die in the firestorms.","My queen, please accept this gift",That's very good to hear.,Bring one of these things down to King's Landing,"So, if all goes well,",one idiot to another.
341,How are they different from the Freys?,It's called war.,on behalf of all of your loyal subjects in the Iron Islands.,Isn't it?,and show her the truth.,I'll finally get to meet your sister.,"I shouldn't be surprised, I suppose."
342,They both broke their promises,"You don't have the stomach for it, scurry back into hiding.","( both grunt, gasp )",You'll want to discuss this amongst yourselves.,Anything you bring back will be useless,"From everything you've told me about her,",She's your kind of woman--
343,and murdered their former friends as soon as it suited them.,I know how you wage war.,I give you what no other man could give--,- Perhaps-- - You will stay.,unless Cersei grants us an audience,she'd rather murder me than speak with me.,a foreign whore who doesn't know her place.
344,So does everyone when it suits them.,We don't poison little girls here.,justice.,All my allies are gone.,and is somehow convinced not to murder us,"Oh, first, she'd torture you in some horrible way,","A foreign whore you can't abduct, beat, or intimidate."
345,"Unlike the Freys, they have ships.",Myrcella was innocent.,Justice for your murdered daughter.,They've been taken from me while I've been sitting here on this island.,the moment we set foot in the capital.,then she'd murder you.,That must be difficult for you.
346,- And they're good at killing. - They're not good at anything.,She was a Lannister.,You've proven yourself the greatest captain on the fourteen seas,- You still have the largest armies. - Who won't be able to eat,The only person she listens to is Jaime.,"Nobody trusts my sister less than I do, believe me.","So you bring her here with her pet Northerner,"
347,"I know the ironborn. They're bitter, angry little people.",There are no innocent Lannisters.,and a true friend to the crown.,because Cersei has taken all the food from the Reach.,He might listen to me.,"But if we go to the capital,",- whom you've convinced to bow down before her. - I didn't know about that.
348,All they know how to do is steal things they can't build or grow themselves.,My greatest regret is that Oberyn died fighting for you.,You deserve more than a true friend.,Tyrion: Call Grey Worm and the Unsullied back.,And how would you get into King's Landing?,"we'll go with two armies, we'll go with three dragons.","And now you've got them both working towards the same goal,"
349,Euron Greyjoy didn't come here for that.,Daenerys: That's enough.,And you deserve a proper reward for your heroism.,We still have enough ships to carry the Dothraki to the mainland.,"I can smuggle you in,","Anyone touches you, King's Landing burns down to the foundation stones.",the goal you've worked towards your entire life...
